leto_teden;SARI_sprejeti;SARI_testirani;SARI_potrjeni_covid;Cepstatus_PC_zadnjiodm_6mes;Cepstatus_Ostali;Cepstatus_PC_zadnjiodm_6mes_vec65_let;SARI_covid_vsi_np_cepstatus;neSARI_potrjeni_covid;hosp_odkriti_covid;hosp_pridobljeni_covid;smrt_covid_vsi;smrt_SARI_covid;odpust_covid_vsi;odpust_SARI_covid;SARI_sprejeti_EIZ;SARI_testirani_EIZ;SARI_covid_EIZ;povpstar_SARI_covid;povpstar_umrli_SARI_covid;povprstar_SARI_covid_EIZ;SARI_potrjeni_covid_<5_let ;SARI_potrjeni_covid_5-14_let;SARI_potrjeni_covid_15-24_let;SARI_potrjeni_covid_25-34_let;SARI_potrjeni_covid_35-44_let;SARI_potrjeni_covid_45-54_let;SARI_potrjeni_covid_55-64_let;SARI_potrjeni_covid_65-74_let;SARI_potrjeni_covid_75-84_let;SARI_potrjeni_covid_>85_let;SARI_covid_EIZ_<5_let ;SARI_covid_EIZ_5-14_let;SARI_covid_EIZ_15-24_let;SARI_covid_EIZ_25-34_let;SARI_covid_EIZ_35-44_let;SARI_covid_EIZ_45-54_let;SARI_covid_EIZ_55-64_let;SARI_covid_EIZ_65-74_let;SARI_covid_EIZ_75-84_let;SARI_covid_EIZ_>85_let;smrt_SARI_covid_<5_let ;smrt_SARI_covid_5-14_let;smrt_SARI_covid_15-24_let;smrt_SARI_covid_25-34_let;smrt_SARI_covid_35-44_let;smrt_SARI_covid_45-54_let;smrt_SARI_covid_55-64_let;smrt_SARI_covid_65-74_let;smrt_SARI_covid_75-84_let;smrt_SARI_covid_>85_let;Stbolnisnic
2021_19;344;337;166;;;;2;34;9;3;27;22;274;220;56;55;40;65;78;64;3;0;0;3;11;24;38;37;30;20;0;0;0;0;2;5;12;15;5;1;0;0;0;0;1;0;1;5;6;9;29
2021_20;321;317;122;;;;1;27;0;5;29;26;194;154;64;58;40;61;75;62;1;0;0;4;15;28;23;22;13;16;0;0;0;2;2;6;12;10;8;0;0;0;0;0;0;0;3;12;4;7;29
2021_21;255;254;87;;;;0;11;2;1;20;19;149;124;44;41;27;63;77;63;1;0;1;2;9;16;15;13;23;7;0;0;1;1;0;3;7;8;6;1;0;0;0;0;0;0;3;5;4;7;29
2021_22;273;270;80;;;;1;12;2;0;15;15;112;95;26;22;14;62;75;68;0;0;3;2;7;12;19;15;17;5;0;0;0;0;0;2;2;5;5;0;0;0;0;0;0;0;4;3;5;3;29
2021_23;229;220;55;;;;0;7;0;0;19;17;107;97;19;19;14;60;75;57;1;0;1;2;8;11;8;9;12;3;0;0;0;0;2;5;2;3;2;0;0;0;0;0;0;1;2;4;7;3;29
2021_24;235;224;35;;;;0;12;0;0;13;10;68;56;16;13;8;64;74;61;0;0;0;3;2;7;9;2;5;7;0;0;0;0;2;1;1;2;2;0;0;0;0;0;0;1;1;4;2;2;29
2021_25;174;158;14;;;;0;5;0;0;6;5;47;38;7;5;2;55;78;36;0;0;1;0;2;3;4;3;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;3;1;29
2021_26;156;145;13;;;;2;2;1;0;1;1;26;19;10;6;3;67;68;61;0;0;0;0;1;1;4;3;2;2;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;1;0;0;29
2021_27;171;156;11;;;;2;4;1;0;5;4;23;19;7;7;2;55;81;70;0;0;0;0;2;3;3;3;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;1;2;29
2021_28;190;180;4;;;;0;0;0;0;0;0;15;14;13;7;1;56;;44;0;0;0;0;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29
2021_29;167;164;6;;;;0;4;1;0;3;2;9;4;11;8;3;71;70;60;0;0;0;1;0;0;1;1;1;2;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;29
2021_30;173;165;18;;;;4;2;1;0;2;1;16;14;9;8;3;47;67;66;3;2;0;2;1;1;1;4;2;2;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;1;0;0;29
2021_31;155;150;15;;;;0;6;0;0;3;3;11;9;7;7;3;61;62;62;0;0;0;1;2;4;1;4;1;2;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;1;0;2;0;0;29
2021_32;203;194;30;;;;0;7;0;0;1;1;25;17;10;10;5;65;59;65;0;0;0;2;2;5;8;3;4;6;0;0;0;0;0;0;3;1;1;0;0;0;0;0;0;0;1;0;0;0;29
2021_33;183;180;40;;;;1;25;2;0;9;9;31;19;20;20;15;61;81;65;0;0;0;1;5;7;10;10;5;2;0;0;0;0;1;0;7;6;0;1;0;0;0;0;0;0;1;2;1;5;29
2021_34;281;262;107;;;;1;22;3;3;8;6;63;41;24;22;15;58;80;61;0;0;4;11;7;21;28;15;14;7;0;0;1;0;1;2;5;3;3;0;0;0;0;0;0;0;0;1;3;2;29
2021_35;351;346;151;;;;2;20;1;1;7;5;88;70;41;41;35;61;79;58;0;0;4;5;12;42;20;36;18;14;0;0;1;1;2;12;5;12;2;0;0;0;0;0;0;0;0;2;1;2;29
2021_36;401;392;182;;;;1;23;6;22;16;14;124;109;54;54;44;63;79;59;0;2;0;3;21;28;35;42;33;18;0;0;0;1;8;8;8;15;4;0;0;0;0;0;0;1;0;3;6;4;29
2021_37;426;426;215;;;;1;19;10;8;29;26;156;135;69;69;58;64;80;63;3;0;0;5;21;34;37;49;38;28;0;0;0;1;3;10;16;15;11;2;0;0;0;0;0;1;1;4;9;11;29
2021_38;488;482;219;;;;2;39;3;15;37;29;176;147;69;69;51;64;81;63;1;0;4;4;21;29;46;49;48;17;0;0;0;1;4;7;11;21;6;1;0;0;0;0;0;0;0;9;10;10;29
2021_39;468;466;238;;;;0;40;14;7;38;31;228;183;79;79;61;63;72;61;5;0;1;5;22;35;61;48;30;31;0;0;0;2;6;7;20;19;6;1;0;0;0;0;1;1;4;11;11;3;29
2021_40;465;456;192;;;;1;38;18;8;39;35;219;179;60;60;49;65;74;62;1;1;0;6;11;28;46;41;38;20;0;0;0;2;5;6;16;10;9;1;0;0;0;0;1;1;6;10;7;10;29
