date,deceased.age.female.0-3,deceased.age.female.4-18,deceased.age.female.19-31,deceased.age.female.32-41,deceased.age.female.42-51,deceased.age.female.52-61,deceased.age.female.62-71,deceased.age.female.72+,deceased.age.male.0-3,deceased.age.male.4-18,deceased.age.male.19-31,deceased.age.male.32-41,deceased.age.male.42-51,deceased.age.male.52-61,deceased.age.male.62-71,deceased.age.male.72+
2010-12-22,,,,,,1,,29,,,,,,3,4,31
2010-12-23,,,,,,1,,34,,,,,2,3,9,23
2010-12-24,,1,,,,,1,42,,,,1,,,4,27
2010-12-25,,,,,,1,2,27,,,,,,2,2,20
2010-12-26,,,,,,,2,31,,,,,2,1,3,16
2010-12-27,,,,,1,1,1,20,,,,,,,3,21
2010-12-28,,,,,,,1,19,,,,,2,1,7,29
2010-12-29,,,,,,,,20,,,,,,1,4,19
2010-12-30,,,,,,,1,19,,,,,1,1,7,31
2010-12-31,,,2,,,,,32,,,,,,2,3,25
2011-01-01,,,,,1,3,1,17,,,,1,2,1,4,16
2011-01-02,,,,,,,1,34,,,,,,1,2,24
2011-01-03,,,,1,,,1,28,,,,,1,3,3,25
2011-01-04,,,,,,2,1,36,,,,,,2,3,30
2011-01-05,,,,,,2,1,31,,,,1,,3,2,31
2011-01-06,,,,,,1,,24,,,,,,,1,23
2011-01-07,,,,,,,,22,,1,,,,3,2,17
2011-01-08,,,,,,,1,22,,,,1,,2,6,26
2011-01-09,,,,,,2,1,24,,,,,1,4,3,25
2011-01-10,,,,,,1,,44,,,,,1,1,2,18
2011-01-11,,,,,1,1,,45,,,,,,,3,26
2011-01-12,,,,,,,,36,,,,2,,,4,27
2011-01-13,,,,1,,1,1,28,,,1,,1,2,1,21
2011-01-14,,1,,,,1,2,21,,1,,,,4,8,38
2011-01-15,,,,,,1,1,37,,1,,,,2,,23
2011-01-16,,,,,,,1,21,,,,,,2,4,24
2011-01-17,,,,,,2,,30,,,,,,2,3,17
2011-01-18,,,,,,,4,29,,,,1,1,3,2,20
2011-01-19,,,,,,2,4,22,,,,,,2,5,27
2011-01-20,,,,,,1,,23,,,,,,1,1,31
2011-01-21,,,,,,1,2,31,,,,,,,4,22
2011-01-22,,,,,1,3,,44,,,,1,,4,4,29
2011-01-23,,,,1,,,1,32,,,,,,2,8,21
2011-01-24,,,,,,,,32,,,,,,2,2,23
2011-01-25,,,,,,,4,32,,,,,,1,2,23
2011-01-26,,,1,,,1,2,21,,,,,,2,4,21
2011-01-27,,2,,,,2,4,29,,,,1,,2,1,31
2011-01-28,,,,,,3,1,28,,,,,,,6,22
2011-01-29,,,,,,,1,36,,,,,,1,,28
2011-01-30,,1,,,,1,2,32,,,,1,,2,5,25
2011-01-31,,,,,,,3,26,,,1,,1,2,5,21
2011-02-01,,1,,,,2,1,30,,,,,,3,,29
2011-02-02,,,,,,1,1,31,,,,,,1,8,21
2011-02-03,,,,,,,,19,,2,,,1,,2,30
2011-02-04,,,,1,,1,2,40,,,,,1,1,4,19
2011-02-05,,,,,1,,,24,,,,,,4,2,20
2011-02-06,,,,,,,1,24,,,,,2,1,1,29
2011-02-07,,,,,,1,2,30,,,,,1,2,4,23
2011-02-08,,,,,,,1,24,,,,,,2,2,24
2011-02-09,,,,,,1,,27,,1,,,,2,5,26
2011-02-10,,,,,,2,1,19,,,,,1,1,4,20
2011-02-11,,2,,,,,2,28,,,,,2,,7,26
2011-02-12,,,,1,,2,2,22,,,,,1,2,5,21
2011-02-13,,,,,,1,1,23,,,,,,,3,28
2011-02-14,,,,,,,2,27,,,,1,,4,2,33
2011-02-15,,,,1,2,1,,33,,,1,1,1,2,3,24
2011-02-16,,,,,,1,,22,,,1,,2,,,28
2011-02-17,,,,,,1,1,27,,,,,1,,5,24
2011-02-18,,1,,,1,,2,25,,,,,,,5,29
2011-02-19,,,,,,1,,32,,,,2,1,3,4,26
2011-02-20,,,,,,2,4,25,,,,1,,,3,20
2011-02-21,,,,,,1,1,23,,,,,,,5,26
2011-02-22,,,,,,,3,33,,,,,,,3,20
2011-02-23,,,,,,,2,18,,,,1,,1,6,17
2011-02-24,,,,,1,1,,28,,1,,,,1,3,23
2011-02-25,,,1,1,,1,1,35,,,,,1,2,3,27
2011-02-26,,,,,1,1,3,25,,,,1,,3,4,26
2011-02-27,,,,,,,2,23,,,,,,5,1,24
2011-02-28,,,,1,,1,2,23,,,,,,4,2,27
2011-03-01,,,,,,1,2,21,,,,,1,2,8,17
2011-03-02,,,,,1,2,1,30,,,,1,2,,5,21
2011-03-03,,,,,,,3,29,,,1,,1,,4,16
2011-03-04,,,,,1,1,,21,,,,1,1,2,5,23
2011-03-05,,,,1,1,2,2,25,,,,,,3,5,24
2011-03-06,,1,,,1,,,21,,,,,,,5,22
2011-03-07,,,,,,1,,32,,,,,,,5,29
2011-03-08,,,,,,2,,37,,,,,2,1,5,32
2011-03-09,,,,,,,,31,,,,1,,2,6,19
2011-03-10,,,,,,1,1,19,,1,,,,1,8,21
2011-03-11,,,,,,1,2,32,,1,,,,,2,22
2011-03-12,,,,1,,,,35,,,1,,,2,2,13
2011-03-13,,,,,,1,1,27,,,,1,,,3,26
2011-03-14,,1,,,,1,2,27,,,,1,,1,5,19
2011-03-15,,1,,,,2,,31,,,,,,1,4,27
2011-03-16,,,,,,1,2,23,,,,,,2,2,21
2011-03-17,,1,,,,,3,22,,,,,1,1,4,28
2011-03-18,,,,,,1,,22,,,,,1,1,4,17
2011-03-19,,,,,,2,1,24,,,,,,1,4,27
2011-03-20,,,,,,,1,29,,,,,,,4,26
2011-03-21,,,,,,,4,18,,,,,3,2,2,27
2011-03-22,,,,,,1,2,23,,,,1,1,,4,14
2011-03-23,,,,,,,1,24,,,1,2,,3,5,27
2011-03-24,,1,1,,,,,20,,,,,,1,6,22
2011-03-25,,,,,,,3,37,,,,,,1,3,17
2011-03-26,,,,,1,1,1,30,,,,,,,4,24
