,datum,WWTP,Statistična_regija,Različica.virusa,Delež.različice
184,2022-12-06,ČN_Celje,Savinjska,BA.5* [Omicron (BA.5.X)],0.5082646690052168
185,2022-12-05,ČN_Maribor,Podravska,BA.5* [Omicron (BA.5.X)],0.5338269098646675
186,2022-09-05,ČN_Maribor,Podravska,BA.5* [Omicron (BA.5.X)],0.992719608395036
187,2022-09-06,ČN_Novo_mesto,Jugovzhodna Slovenija,BA.5* [Omicron (BA.5.X)],0.9972264749589717
188,2022-09-06,CČN_Slovenj_Gradec,Koroška,BA.5* [Omicron (BA.5.X)],0.9496863964788578
189,2022-09-06,ČN_Koper,Obalno-kraška,BA.5* [Omicron (BA.5.X)],0.9947230199133332
190,2022-09-06,OČN_Šaleške doline,Savinjska,BA.5* [Omicron (BA.5.X)],0.9636363899356982
191,2023-08-29,CČN_Litija_in_Šmartno_pri_Litiji,Zasavska,XBB.1.16* [Omicron (XBB.1.16.X)],0.9975959998710664
192,2023-08-29,ČN_Koper,Obalno-kraška,XBB.1.9* [Omicron (XBB.1.9.X)],0.9922029999957988
193,2023-08-28,ČN_Domžale_Kamnik,Osrednjeslovenska,XBB.1.9* [Omicron (XBB.1.9.X)],0.844432673910471
194,2023-08-28,CČN_Murska_Sobota,Pomurska,XBB* (XBB.X),0.7696433000872334
195,2023-08-29,CČN_Trbovlje,Zasavska,XBB.1.5* [Omicron (XBB.1.5.X)],0.9423080009431644
196,2023-05-30,OČN_Šaleške doline,Savinjska,Omicron,0.9934486699788572
197,2023-05-29,ČN_Maribor,Podravska,Omicron,0.9960629999556966
198,2023-05-30,ČN_Koper,Obalno-kraška,Omicron,0.9934330761604976
199,2023-05-29,ČN_Domžale_Kamnik,Osrednjeslovenska,Omicron,0.9986547973696812
200,2023-05-29,CČN_Murska_Sobota,Pomurska,Omicron,0.9999999984207923
201,2023-05-30,CČN_Litija_in_Šmartno_pri_Litiji,Zasavska,Omicron,0.9999998899010352
202,2023-05-29,CČN_Ljubljana,Osrednjeslovenska,Omicron,0.9992219625959444
203,2023-05-30,CČN_Brežice,Posavska,Omicron,0.8473079654389442
204,2023-05-30,ČN_Novo_mesto,Jugovzhodna Slovenija,Omicron,0.9999999816168138
205,2023-05-29,ČN_Kranj,Gorenjska,Omicron,0.9952838199862852
206,2023-08-01,OČN_Šaleške doline,Savinjska,XBB.1.16* [Omicron (XBB.1.16.X)],0.862744999925303
207,2023-08-01,CČN_Zagorje,Zasavska,XBB.1.5* [Omicron (XBB.1.5.X)],0.9714414969955856
208,2023-07-31,ČN_Maribor,Podravska,XBB.1.9* [Omicron (XBB.1.9.X)],0.4913642197802402
209,2023-08-01,CČN_Postojna,Primorsko-notranjska,XBB.1.9* [Omicron (XBB.1.9.X)],0.9677419999757244
210,2023-07-31,CČN_Murska_Sobota,Pomurska,XBB.1.16* [Omicron (XBB.1.16.X)],0.9626358999984213
211,2023-07-31,CČN_Ljubljana,Osrednjeslovenska,XBB.1.9* [Omicron (XBB.1.9.X)],0.4865807500056285
212,2023-05-03,CČN_Murska_Sobota,Pomurska,Omicron,0.6337329999968343
213,2023-05-03,ČN_Koper,Obalno-kraška,Omicron,0.8064005999625167
214,2023-05-04,CČN_Trbovlje,Zasavska,XBB.1.5* [Omicron (XBB.1.5.X)],0.8176663399948729
215,2023-05-03,CČN_Postojna,Primorsko-notranjska,XBB.1.5* [Omicron (XBB.1.5.X)],0.5839774046313846
216,2023-05-04,CČN_Litija_in_Šmartno_pri_Litiji,Zasavska,Omicron,0.8964461999860553
217,2023-05-04,CČN_Zagorje,Zasavska,Omicron,0.6996419497065741
218,2023-05-03,ČN_Kranj,Gorenjska,Omicron,0.5688846199682959
219,2023-05-04,OČN_Šaleške doline,Savinjska,Omicron,0.9999999999954396
220,2023-05-03,CČN_Ljubljana,Osrednjeslovenska,Omicron,0.8909139999860444
221,2023-09-05,CČN_Brežice,Posavska,XBB.1.16* [Omicron (XBB.1.16.X)],0.6290910000032102
222,2023-09-04,ČN_Kranj,Gorenjska,XBB.1.9* [Omicron (XBB.1.9.X)],0.6317216299993481
223,2023-09-04,ČN_Nova_Gorica,Goriška,XBB.1.9* [Omicron (XBB.1.9.X)],0.4013379997295027
224,2023-09-04,CČN_Ljubljana,Osrednjeslovenska,XBB.1.9* [Omicron (XBB.1.9.X)],0.3745169999986262
225,2023-09-05,CČN_Litija_in_Šmartno_pri_Litiji,Zasavska,XBB.1.16* [Omicron (XBB.1.16.X)],0.4406779999979427
226,2023-09-04,CČN_Murska_Sobota,Pomurska,XBB.1.5* [Omicron (XBB.1.5.X)],0.4180800241284644
227,2023-09-05,OČN_Šaleške doline,Savinjska,XBB.1.16* [Omicron (XBB.1.16.X)],0.9786589999970022
228,2023-09-05,CČN_Zagorje,Zasavska,XBB.1.9* [Omicron (XBB.1.9.X)],0.6722565071964528
229,2023-06-06,ČN_Nova_Gorica,Obalno-kraška,XBB.1.5* [Omicron (XBB.1.5.X)],0.3999999999994008
230,2023-06-06,CČN_Zagorje,Savinjska,XBB.1.9* [Omicron (XBB.1.9.X)],0.8728809997878361
231,2023-06-05,CČN_Postojna,Pomurska,XBB.1.16* [Omicron (XBB.1.16.X)],0.7137399999837778
232,2023-06-05,ČN_Koper,Podravska,XBB.1.9* [Omicron (XBB.1.9.X)],0.940091769997692
233,2023-06-05,CČN_Ljubljana,Gorenjska,XBB* (XBB.X),0.4236429999978333
234,2023-06-06,CČN_Trbovlje,Savinjska,XBB.1.9* [Omicron (XBB.1.9.X)],0.4963369997831353
235,2023-10-03,CČN_Zagorje,Zasavska,XBB.1.9* [Omicron (XBB.1.9.X)],0.3013699999954077
236,2023-10-02,ČN_Kranj,Gorenjska,XBB.1.16* [Omicron (XBB.1.16.X)],0.4074069999711625
237,2023-10-03,ČN_Maribor,Podravska,XBB.1.9* [Omicron (XBB.1.9.X)],0.5201361299965074
238,2023-10-03,CČN_Litija_in_Šmartno_pri_Litiji,Zasavska,XBB.1.9* [Omicron (XBB.1.9.X)],0.5800929999792859
239,2023-10-02,ČN_Nova_Gorica,Goriška,XBB.1.9* [Omicron (XBB.1.9.X)],0.3709979992632847
240,2023-10-03,CČN_Murska_Sobota,Pomurska,XBB.1.16* [Omicron (XBB.1.16.X)],0.9798685799959856
241,2023-10-03,CČN_Slovenj_Gradec,Koroška,XBB.1.9* [Omicron (XBB.1.9.X)],0.3323908799653224
242,2023-10-03,CČN_Trbovlje,Zasavska,XBB.1.9* [Omicron (XBB.1.9.X)],0.4303380065131564
243,2023-10-03,OČN_Šaleške doline,Savinjska,XBB* (XBB.X),0.2660158600084827
244,2023-10-03,CČN_Brežice,Posavska,XBB.1.9* [Omicron (XBB.1.9.X)],0.6636970942457368
245,2023-10-03,CČN_Postojna,Primorsko-notranjska,XBB.1.9* [Omicron (XBB.1.9.X)],0.3897639999980288
